名称,数值类型,描述,类别,时间戳精度
"[V4_DPU2021_HW_DI090316_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI090401_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI090402_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI090403_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI090404_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI090405_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI090406_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI090407_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI090408_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI090409_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI090410_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI090411_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI090412_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI090413_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI090414_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI090415_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI090416_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100301_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100302_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100303_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100304_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100305_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100306_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100307_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100308_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100309_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100310_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100311_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100312_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100313_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100314_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100315_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100316_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100401_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100402_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100403_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100404_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100405_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100406_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100407_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100408_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100409_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100410_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100411_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100412_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100413_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI100414_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI100415_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI100416_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI120101_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI120102_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI120103_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI120104_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI120105_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI120106_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI120107_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI120108_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI120109_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI120110_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI120111_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI120112_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI120113_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_DI120114_PV]",BOOL,推料器2速度,"base,scan",0
"[V4_DPU2021_HW_DI120115_PV]",BOOL,推料器3速度,"base,scan",0
"[V4_DPU2021_HW_DI120116_PV]",BOOL,推料器1速度,"base,scan",0
"[V4_DPU2021_HW_RT020201_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT020202_PV]",FLOAT64,8#机凝结水泵丙电机后轴承温度,"base,scan",0
"[V4_DPU2021_HW_RT020203_PV]",FLOAT64,8#机凝泵甲电机定子绕组温度A,"base,scan",0
"[V4_DPU2021_HW_RT020204_PV]",FLOAT64,8#机低加进汽温度,"base,scan",0
"[V4_DPU2021_HW_RT020205_PV]",FLOAT64,8#机凝汽器左循环冷却水进口温度,"base,scan",0
"[V4_DPU2021_HW_RT020206_PV]",FLOAT64,8#机凝汽器左循环冷却水出口温度,"base,scan",0
"[V4_DPU2021_HW_RT020207_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT020208_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT030201_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT030202_PV]",FLOAT64,8#机凝结水泵甲电机后轴承温度,"base,scan",0
"[V4_DPU2021_HW_RT030203_PV]",FLOAT64,8#机凝泵甲电机定子绕组温度B,"base,scan",0
"[V4_DPU2021_HW_RT030204_PV]",FLOAT64,8#机凝泵甲电机定子绕组温度C,"base,scan",0
"[V4_DPU2021_HW_RT030205_PV]",FLOAT64,8#机1#冷油器进水温度,"base,scan",0
"[V4_DPU2021_HW_RT030206_PV]",FLOAT64,8#机1#冷油器出水温度,"base,scan",0
"[V4_DPU2021_HW_RT030207_PV]",FLOAT64,8#机凝结水温度,"base,scan",0
"[V4_DPU2021_HW_RT030208_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT050201_PV]",FLOAT64,8#机8米层环境温度,"base,scan",0
"[V4_DPU2021_HW_RT050202_PV]",FLOAT64,8#机凝结水泵丙电机后轴承温度,"base,scan",0
"[V4_DPU2021_HW_RT050203_PV]",FLOAT64,8#机凝泵丙电机定子绕组温度B,"base,scan",0
"[V4_DPU2021_HW_RT050204_PV]",FLOAT64,8#机凝泵丙电机定子绕组温度C,"base,scan",0
"[V4_DPU2021_HW_RT050205_PV]",FLOAT64,8#发电机空气冷却器热风温度1,"base,scan",0
"[V4_DPU2021_HW_RT050206_PV]",FLOAT64,8#发电机空气冷却器冷风温度1,"base,scan",0
"[V4_DPU2021_HW_RT050207_PV]",FLOAT64,8#发电机冷却水进水温度,"base,scan",0
"[V4_DPU2021_HW_RT050208_PV]",FLOAT64,8#发电机冷却水出水温度,"base,scan",0
"[V4_DPU2021_HW_RT050301_PV]",FLOAT64,8#机EH油箱油温,"base,scan",0
"[V4_DPU2021_HW_RT050302_PV]",FLOAT64,8#机EH冷油器出口温度1,"base,scan",0
"[V4_DPU2021_HW_RT050303_PV]",FLOAT64,8#发电机定子绕组温度1,"base,scan",0
"[V4_DPU2021_HW_RT050304_PV]",FLOAT64,8#发电机定子绕组温度3,"base,scan",0
"[V4_DPU2021_HW_RT050305_PV]",FLOAT64,8#发电机定子绕组温度5,"base,scan",0
"[V4_DPU2021_HW_RT050306_PV]",FLOAT64,8#发电机励磁机外壳温度,"base,scan",0
"[V4_DPU2021_HW_RT050307_PV]",FLOAT64,8#机TL1机柜温度,"base,scan",0
"[V4_DPU2021_HW_RT050308_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT060201_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT060202_PV]",FLOAT64,8#机凝结水泵丙电机前轴承温度,"base,scan",0
"[V4_DPU2021_HW_RT060203_PV]",FLOAT64,8#机凝泵丙电机定子绕组温度A,"base,scan",0
"[V4_DPU2021_HW_RT060204_PV]",FLOAT64,8#发电机定子铁芯温度1,"base,scan",0
"[V4_DPU2021_HW_RT060205_PV]",FLOAT64,8#发电机定子铁芯温度3,"base,scan",0
"[V4_DPU2021_HW_RT060206_PV]",FLOAT64,8#发电机定子铁芯温度5,"base,scan",0
"[V4_DPU2021_HW_RT060207_PV]",FLOAT64,8#发电机前径向轴承瓦温测量1,"base,scan",0
"[V4_DPU2021_HW_RT060208_PV]",FLOAT64,8#发电机后径向轴承瓦温测量1,"base,scan",0
"[V4_DPU2021_HW_RT080201_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT080202_PV]",FLOAT64,8#机凝结水泵乙电机前轴承温度,"base,scan",0
"[V4_DPU2021_HW_RT080203_PV]",FLOAT64,8#机凝泵乙电机定子绕组温度A,"base,scan",0
"[V4_DPU2021_HW_RT080204_PV]",FLOAT64,8#机三级抽汽温度,"base,scan",0
"[V4_DPU2021_HW_RT080205_PV]",FLOAT64,8#机凝汽器右循环冷却水进口温度,"base,scan",0
"[V4_DPU2021_HW_RT080206_PV]",FLOAT64,8#机凝汽器右循环冷却水出口温度,"base,scan",0
"[V4_DPU2021_HW_RT080207_PV]",FLOAT64,8#发电机前径向轴承瓦温测量2,"base,scan",0
"[V4_DPU2021_HW_RT080208_PV]",FLOAT64,8#发电机后径向轴承瓦温测量2,"base,scan",0
"[V4_DPU2021_HW_RT090201_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT090202_PV]",FLOAT64,8#机凝结水泵乙电机后轴承温度,"base,scan",0
"[V4_DPU2021_HW_RT090203_PV]",FLOAT64,8#机凝泵乙电机定子绕组温度B,"base,scan",0
"[V4_DPU2021_HW_RT090204_PV]",FLOAT64,8#机凝泵乙电机定子绕组温度C,"base,scan",0
"[V4_DPU2021_HW_RT090205_PV]",FLOAT64,8#机2#冷油器进水温度,"base,scan",0
"[V4_DPU2021_HW_RT090206_PV]",FLOAT64,8#机2#冷油器出水温度,"base,scan",0
"[V4_DPU2021_HW_RT090207_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT090208_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT110201_PV]",FLOAT64,8#机汽封加热器冷却水进口温度,"base,scan",0
"[V4_DPU2021_HW_RT110202_PV]",FLOAT64,8#机汽封加热器冷却水出口温度,"base,scan",0
"[V4_DPU2021_HW_RT110203_PV]",FLOAT64,8#机低压加热器冷却水进口温度,"base,scan",0
"[V4_DPU2021_HW_RT110204_PV]",FLOAT64,低压加热器冷却水出口温度,"base,scan",0
"[V4_DPU2021_HW_RT110205_PV]",FLOAT64,8#发电机空气冷却器热风温度2,"base,scan",0
"[V4_DPU2021_HW_RT110206_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT110207_PV]",FLOAT64,8#机齿轮箱回油温度,"base,scan",0
"[V4_DPU2021_HW_RT110208_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT110301_PV]",FLOAT64,8#机EH冷油器入口温度,"base,scan",0
"[V4_DPU2021_HW_RT110302_PV]",FLOAT64,8#机EH冷油器出口2#温度,"base,scan",0
"[V4_DPU2021_HW_RT110303_PV]",FLOAT64,8#发电机定子绕组温度2,"base,scan",0
"[V4_DPU2021_HW_RT110304_PV]",FLOAT64,8#发电机定子绕组温度4,"base,scan",0
"[V4_DPU2021_HW_RT110305_PV]",FLOAT64,8#发电机定子绕组温度6,"base,scan",0
"[V4_DPU2021_HW_RT110306_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT110307_PV]",FLOAT64,8#机TL2机柜温度,"base,scan",0
"[V4_DPU2021_HW_RT110308_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT110401_PV]",FLOAT64,8#发电机空气冷却器进水温度,"base,scan",0
"[V4_DPU2021_HW_RT110402_PV]",FLOAT64,8#机前轴承回油温度,"base,scan",0
"[V4_DPU2021_HW_RT110403_PV]",FLOAT64,8#发电机励端轴承回油温度,"base,scan",0
"[V4_DPU2021_HW_RT110404_PV]",FLOAT64,8#机凝泵出口母管温度,"base,scan",0
"[V4_DPU2021_HW_RT110405_PV]",FLOAT64,8#机凝汽器除盐水进水温度,"base,scan",0
"[V4_DPU2021_HW_RT110406_PV]",FLOAT64,8#机油箱温度,"base,scan",0
"[V4_DPU2021_HW_RT110407_PV]",FLOAT64,8#机冷油器出油总管温度,"base,scan",0
"[V4_DPU2021_HW_RT110408_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_RT110501_PV]",FLOAT64,8#发电机空气冷却器出水温度,"base,scan",0
"[V4_DPU2021_HW_RT110502_PV]",FLOAT64,8#机后轴承回油温度,"base,scan",0
"[V4_DPU2021_HW_RT110503_PV]",FLOAT64,8#发电机汽端轴承回油温度,"base,scan",0
"[V4_DPU2021_HW_RT110504_PV]",FLOAT64,8#发电机定子铁芯温度2,"base,scan",0
"[V4_DPU2021_HW_RT110505_PV]",FLOAT64,8#发电机定子铁芯温度4,"base,scan",0
"[V4_DPU2021_HW_RT110506_PV]",FLOAT64,8#发电机定子铁芯温度6,"base,scan",0
"[V4_DPU2021_HW_RT110507_PV]",FLOAT64,8#机本体疏水立管温度,"base,scan",0
"[V4_DPU2021_HW_RT110508_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2021_HW_TC020301_PV]",FLOAT64,8#机进汽隔离电动门前温度,"base,scan",0
"[V4_DPU2021_HW_TC020302_PV]",FLOAT64,8#机一级抽汽温度1,"base,scan",0
"[V4_DPU2021_HW_TC020303_PV]",FLOAT64,8#机一级抽汽阀后温度2,"base,scan",0
"[V4_DPU2021_HW_TC020304_PV]",FLOAT64,8#机2#回热抽汽温度,"base,scan",0
"[V4_DPU2021_HW_TC020305_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2021_HW_TC020306_PV]",FLOAT64,8#机手动阀前进汽温度,"base,scan",0
"[V4_DPU2021_HW_TC020307_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2021_HW_TC020308_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2021_HW_TC030301_PV]",FLOAT64,8#机后汽封供汽温度,"base,scan",0
"[V4_DPU2021_HW_TC030302_PV]",FLOAT64,8#机一级抽汽温度2,"base,scan",0
"[V4_DPU2021_HW_TC030303_PV]",FLOAT64,8#机一级抽汽阀后温度1,"base,scan",0
"[V4_DPU2021_HW_TC030304_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2021_HW_TC030305_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2021_HW_TC030306_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2021_HW_TC030307_PV]",FLOAT64,8#机二级抽汽温度,"base,scan",0
"[V4_DPU2021_HW_TC030308_PV]",FLOAT64,8#机二级抽汽阀后温度,"base,scan",0
"[V4_DPU2021_SH0120_AALM1_PV]",FLOAT64,8#机主凝结水流量,"base,scan",0
"[V4_DPU2021_SH0120_AALM2_PV]",FLOAT64,8#机主凝结水流量累计,"base,scan",0
"[V4_DPU2021_SH0121_AALM1_PV]",FLOAT64,8#机凝汽器除盐补充水流量,"base,scan",0
"[V4_DPU2021_SH0121_AALM2_PV]",FLOAT64,8#机凝汽器除盐补充水流量累计,"base,scan",0
"[V4_DPU2021_SH0122_AALM1_PV]",FLOAT64,8#机对外供热蒸汽流量,"base,scan",0
"[V4_DPU2021_SH0122_AALM2_PV]",FLOAT64,8#机对外供热蒸汽流量累计,"base,scan",0
"[V4_DPU2021_SH0123_AALM1_PV]",FLOAT64,8#机主蒸汽流量,"base,scan",0
"[V4_DPU2021_SH0123_AALM2_PV]",FLOAT64,8#机主蒸汽流量累计,"base,scan",0
"[V4_DPU2022_HW_AI010201_PV]",FLOAT64,9#机抽汽调节阀开度,"base,scan",0
"[V4_DPU2022_HW_AI010202_PV]",FLOAT64,9#机凝汽器除盐水补水调节阀开度,"base,scan",0
"[V4_DPU2022_HW_AI010203_PV]",FLOAT64,9#机主汽门前压力C,"base,scan",0
"[V4_DPU2022_HW_AI010204_PV]",FLOAT64,9#机凝汽器除盐补充水流量,"base,scan",0
"[V4_DPU2022_HW_AI010205_PV]",FLOAT64,9#机凝汽器除盐水进水压力,"base,scan",0
"[V4_DPU2022_HW_AI010206_PV]",FLOAT64,9#机凝结水调节阀开度,"base,scan",0
"[V4_DPU2022_HW_AI010207_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI010208_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI010301_PV]",FLOAT64,9#机一级抽汽压力1,"base,scan",0
"[V4_DPU2022_HW_AI010302_PV]",FLOAT64,9#机一级抽汽压力2,"base,scan",0
"[V4_DPU2022_HW_AI010303_PV]",FLOAT64,9#机一级抽汽阀后压力2,"base,scan",0
"[V4_DPU2022_HW_AI010304_PV]",FLOAT64,9#机一级抽汽阀后压力1,"base,scan",0
"[V4_DPU2022_HW_AI010305_PV]",FLOAT64,9#机凝汽器热井水位A,"base,scan",0
"[V4_DPU2022_HW_AI010306_PV]",FLOAT64,9#机级后蒸汽压力,"base,scan",0
"[V4_DPU2022_HW_AI010307_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI010308_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI020101_PV]",FLOAT64,9#机凝泵甲电流,"base,scan",0
"[V4_DPU2022_HW_AI020102_PV]",FLOAT64,9#机主汽门前压力D,"base,scan",0
"[V4_DPU2022_HW_AI020103_PV]",FLOAT64,9#机2#回热抽汽蒸汽压力,"base,scan",0
"[V4_DPU2022_HW_AI020104_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI020105_PV]",FLOAT64,9#机凝汽器左循环冷却水进口压力,"base,scan",0
"[V4_DPU2022_HW_AI020106_PV]",FLOAT64,9#机凝汽器左循环冷却水出口压力,"base,scan",0
"[V4_DPU2022_HW_AI020107_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI020108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI030101_PV]",FLOAT64,9#机真空泵分离器甲液位,"base,scan",0
"[V4_DPU2022_HW_AI030102_PV]",FLOAT64,9#机真空泵甲电流,"base,scan",0
"[V4_DPU2022_HW_AI030103_PV]",FLOAT64,9#机EH油泵甲电流,"base,scan",0
"[V4_DPU2022_HW_AI030104_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI030105_PV]",FLOAT64,9#机低加凝结水水位1,"base,scan",0
"[V4_DPU2022_HW_AI030106_PV]",FLOAT64,9#机1#滤水器差压,"base,scan",0
"[V4_DPU2022_HW_AI030107_PV]",FLOAT64,9#机1#真空管路压力,"base,scan",0
"[V4_DPU2022_HW_AI030108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI040101_PV]",FLOAT64,9#机主油泵甲电流,"base,scan",0
"[V4_DPU2022_HW_AI040102_PV]",FLOAT64,9#机润滑油箱加热器1电流,"base,scan",0
"[V4_DPU2022_HW_AI040103_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI040104_PV]",FLOAT64,9#机主油泵进口压力,"base,scan",0
"[V4_DPU2022_HW_AI040105_PV]",FLOAT64,9#机油箱液位,"base,scan",0
"[V4_DPU2022_HW_AI040106_PV]",FLOAT64,9#机汽封母管压力,"base,scan",0
"[V4_DPU2022_HW_AI040107_PV]",FLOAT64,9#机1#冷却水增压泵电流,"base,scan",0
"[V4_DPU2022_HW_AI040108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI040201_PV]",FLOAT64,9#机轴向位移1,"base,scan",0
"[V4_DPU2022_HW_AI040202_PV]",FLOAT64,9#机差胀,"base,scan",0
"[V4_DPU2022_HW_AI040203_PV]",FLOAT64,9#机前轴承相对振动(X向),"base,scan",0
"[V4_DPU2022_HW_AI040204_PV]",FLOAT64,9#机前轴承绝对振动,"base,scan",0
"[V4_DPU2022_HW_AI040205_PV]",FLOAT64,9#机后轴承相对振动(X向),"base,scan",0
"[V4_DPU2022_HW_AI040206_PV]",FLOAT64,9#机齿轮箱高速端相对振动(X向),"base,scan",0
"[V4_DPU2022_HW_AI040207_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI040208_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050101_PV]",FLOAT64,9#机EH油泵后流量1,"base,scan",0
"[V4_DPU2022_HW_AI050102_PV]",FLOAT64,9#机EH油压力,"base,scan",0
"[V4_DPU2022_HW_AI050103_PV]",FLOAT64,9#机零转速,"base,scan",0
"[V4_DPU2022_HW_AI050104_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050105_PV]",FLOAT64,9#发电机前轴承相对振动(X向),"base,scan",0
"[V4_DPU2022_HW_AI050106_PV]",FLOAT64,9#发电机前轴承绝对振动,"base,scan",0
"[V4_DPU2022_HW_AI050107_PV]",FLOAT64,9#发电机后轴承相对振动(X向),"base,scan",0
"[V4_DPU2022_HW_AI050108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050801_PV]",FLOAT64,9#机汽封至凝汽器调节阀开度,"base,scan",0
"[V4_DPU2022_HW_AI050802_PV]",FLOAT64,9#机汽封温度调节阀开度,"base,scan",0
"[V4_DPU2022_HW_AI050803_PV]",FLOAT64,9#机辅助蒸汽调节阀开度,"base,scan",0
"[V4_DPU2022_HW_AI050804_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050805_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050806_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050807_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI050808_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI060101_PV]",FLOAT64,9#机凝泵丙电流,"base,scan",0
"[V4_DPU2022_HW_AI060102_PV]",FLOAT64,9#机凝泵出口母管压力,"base,scan",0
"[V4_DPU2022_HW_AI060103_PV]",FLOAT64,9#机偏心,"base,scan",0
"[V4_DPU2022_HW_AI060104_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI060105_PV]",FLOAT64,9#机8米层环境噪音,"base,scan",0
"[V4_DPU2022_HW_AI060106_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI060107_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI060108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI070101_PV]",FLOAT64,9#机功率,"base,scan",0
"[V4_DPU2022_HW_AI070102_PV]",FLOAT64,9#机转速,"base,scan",0
"[V4_DPU2022_HW_AI070103_PV]",FLOAT64,9#机主蒸汽流量,"base,scan",0
"[V4_DPU2022_HW_AI070104_PV]",FLOAT64,9#机主闸门前压力,"base,scan",0
"[V4_DPU2022_HW_AI070105_PV]",FLOAT64,9#机汽封加热器凝结水位,"base,scan",0
"[V4_DPU2022_HW_AI070106_PV]",FLOAT64,9#机手动阀前主蒸汽压力,"base,scan",0
"[V4_DPU2022_HW_AI070107_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI070108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI070201_PV]",FLOAT64,9#机二级抽汽压力,"base,scan",0
"[V4_DPU2022_HW_AI070202_PV]",FLOAT64,9#机二级抽汽阀后压力,"base,scan",0
"[V4_DPU2022_HW_AI070203_PV]",FLOAT64,9#机三级抽汽压力,"base,scan",0
"[V4_DPU2022_HW_AI070204_PV]",FLOAT64,9#机低加进汽压力,"base,scan",0
"[V4_DPU2022_HW_AI070205_PV]",FLOAT64,9#机凝汽器热井水位B,"base,scan",0
"[V4_DPU2022_HW_AI070206_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI070207_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI070208_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI080101_PV]",FLOAT64,9#机凝泵乙电流,"base,scan",0
"[V4_DPU2022_HW_AI080102_PV]",FLOAT64,9#机主凝结水压力,"base,scan",0
"[V4_DPU2022_HW_AI080103_PV]",FLOAT64,9#机主凝结水流量,"base,scan",0
"[V4_DPU2022_HW_AI080104_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI080105_PV]",FLOAT64,9#机凝汽器右循环冷却水进口压力,"base,scan",0
"[V4_DPU2022_HW_AI080106_PV]",FLOAT64,9#机凝汽器右循环冷却水出口压力,"base,scan",0
"[V4_DPU2022_HW_AI080107_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI080108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI090101_PV]",FLOAT64,9#机真空泵分离器乙液位,"base,scan",0
"[V4_DPU2022_HW_AI090102_PV]",FLOAT64,9#机真空泵乙电流,"base,scan",0
"[V4_DPU2022_HW_AI090103_PV]",FLOAT64,9#机EH油泵乙电流,"base,scan",0
"[V4_DPU2022_HW_AI090104_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI090105_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2022_HW_AI090106_PV]",FLOAT64,9#机2#滤水器差压,"base,scan",0
"[V4_DPU2022_HW_AI090107_PV]",FLOAT64,9#机2#真空管路压力,"base,scan",0
"[V4_DPU2022_HW_AI090108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
